"","ZT1","ZT13","ZT17","ZT21","ZT5","ZT9"
"PPARG::MA0066.2",0.272585970330224,3.30982835374669e-08,0.00189866868088412,0.0059110094271411,1,1
"ESRRA::MA0592.4",0.999996421808109,3.60362594017626e-30,1.38400273317011e-14,1,1,1
"Pparg::Rxra::MA0065.3",0.999996421808109,3.90794359704296e-12,0.000153165595574106,0.0180535849209183,1,1
"Arnt::MA0004.1",0.525984402422604,1,1,1,1.36483817488426e-158,1.88611363581295e-07
"Arntl::MA0603.2",0.111520521536108,1,1,1,9.41430822138923e-08,1
"MLX::MA0663.1",0.09607781244226,1,1,1,0.000315152230721126,2.06295941724391e-09
"KLF16::MA0741.1",0.551205006349707,1,1,1,3.2595587008874e-08,4.67538856303943e-06
"TBX15::MA0803.1",0.0151040740199346,1,1,1,2.47976880736026e-84,0.0113462893536143
"Rarg::MA0860.1",0.525984402422604,0.261020937105639,1,1,0.135355173479596,0.650346764737673
"SP1::MA0079.5",0.999996421808109,4.97550064538543e-15,0.00605128331179562,1,1,0.900966690879784
"NR1D2::MA1532.2",0.0203422588342311,1,1,1,3.53197292337239e-57,9.29743262811993e-07
"CEBPA::MA0102.5",0.570545461165811,0.0833217221445363,0.0459409549272937,1.37517384454934e-08,1,1
"CLOCK::MA0819.3",0.072990643129788,1,5.85875020624471e-24,8.94535666498603e-55,1,1
"CREB3::MA0638.2",0.69438095560551,0.836280890162867,1,1,0.0273107529942442,0.00340951982259515
"CREB3L1::MA0839.2",0.999996421808109,1,1,1,5.18603665610713e-17,0.0113462893536143
"DBP::MA0639.2",0.999996421808109,0.424592676675527,0.613770755580594,1,0.205243864133175,0.00226656518275943
"TEF::MA0843.2",0.999996421808109,0.120723329793555,1.61399248297407e-25,0.000975139248229124,1,1
"MAX::MA0058.4",0.999996421808109,0.419660206684471,1.46717742127649e-16,0.0341601110785061,1,1
"ESR1::MA0112.4",0.913600770005016,1,1,1,1,1
"HES1::MA1099.3",0.551205006349707,1.12464197951114e-07,4.65772896367518e-05,0.724544427618931,1,1
"IRF7::MA0772.2",0.525984402422604,1,1,1,7.6728106626228e-42,0.00102724756562244
"KLF3::MA1516.2",0.153669943168876,1,1,1,0.000311586864896325,0.961267382286444
"KLF4::MA0039.5",0.31431531881036,1,1,1,1.86861307309834e-61,0.154545016632904
"LHX6::MA0658.2",0.0151040740199346,1,1,1,4.86940628772954e-62,0.0468752208102259
"NFIL3::MA0025.3",0.0151040740199346,1,1,1,5.23519357750648e-12,1
"NFKB2::MA0778.2",0.913600770005016,1,3.76900053443254e-23,2.07184058910726e-15,1,1
"NR1D1::MA1531.2",0.504945286526716,0.165898600799125,0.768568134224837,0.504699717742999,1,0.686459050502866
"NR2F2::MA1111.2",0.824307332820002,4.26006116122164e-06,0.00956839282455911,0.0024064915749119,1,1
"RARG::MA1553.2",0.999996421808109,5.77022554145947e-27,6.22211623985052e-09,1,1,1
"SOX13::MA1120.2",0.534950605391562,0.000746259885905988,0.00334734232629713,1,0.884464156808619,1
"STAT3::MA0144.3",0.80393905651021,1,1,1,0.00030231333654998,1
"TBX2::MA0688.2",0.341165886407708,1,1,0.817669317084899,0.320423479979997,0.173336041171076
"TCF12::MA1648.2",0.525984402422604,0.0032636974583318,0.649000726099753,0.589883304385601,1,1
"TFDP1::MA1122.2",0.913600770005016,5.80740019836473e-15,5.59276235877072e-07,1,1,1
"ZBTB14::MA1650.2",0.999996421808109,1,1,1,6.66202242406518e-52,0.00144337814621389
"Zfp809::MA2125.1",0.999996421808109,1,1,1,1.61128299163288e-60,0.00144337814621389
"Zbtb2::MA2340.1",0.153669943168876,0.390517863497136,0.00490943106845605,0.0933141396686838,1,1
"Gli2::MA0734.4",0.525984402422604,1,1,1,2.82577336594612e-25,0.0380745909933834
"Npas2::MA0626.2",0.31431531881036,0.0587550448169872,0.382547960378132,0.407784794081505,1,1
"Nrf1::MA0506.3",0.476450351172105,0.120723329793555,0.613770755580594,0.618206855914793,1,0.822467372973229
"Plagl1::MA1615.2",0.999996421808109,1,1,1,5.34950982133771e-54,0.00200929588082351
"Prdm4::MA1647.3",0.525984402422604,0.015700748158481,0.613770755580594,0.55323615792027,1,1
"Rarg.1::MA0859.2",0.617480576046575,0.187389156723187,0.00304894798587269,0.829913555827082,1,1
"Runx1::MA0002.3",0.999996421808109,4.26006116122164e-06,0.00304894798587269,0.0936322363967572,1,1
"Tcf12::MA0521.3",0.591817784226924,1.44298147168575e-08,0.53107872982825,0.0714729252770771,1,1
"ARNT::HIF1A::MA0259.2",0.999996421808109,5.74913488278435e-11,1.32608901646768e-21,1,1,0.900966690879784
"Ddit3::Cebpa::MA0019.2",0.111520521536108,1,1,1,1.39779605600418e-19,8.49497185762119e-05
"MAFG::NFE2L1::MA0089.3",0.824307332820002,1,2.22057904957883e-09,3.27478463623183e-27,1,1
"MAX::MYC::MA0059.2",0.913600770005016,0.00258604363050296,1.45454657541719e-05,0.637505153578528,1,1
"STAT1::STAT2::MA0517.2",0.999996421808109,0.00195250612708795,1,1,1,0.0087362038541379
"Ahr::Arnt::MA0006.2",0.163634153474236,1,1,1,0.000148102326867235,0.0695290300232004
"PPARG.1::MA0066.2",0.255466417273798,1,1,1,1.58339652769659e-80,4.67538856303943e-06
